"","SEX","RELIGION","MARITALSTATUS","parti","age"
"142",2,"121","2","PSN",38.2767123287671
"143",2,"121","2","UDC",56.0520547945206
"144",2,"121","3","PLR",63.2657534246575
"145",2,"111","2","PSN",35.7397260273973
"146",1,"121","2","PLR",69.2739726027397
"147",1,"111","1","PLR",27.6904109589041
"148",1,"711","2","PSN",34.2383561643836
"149",2,"711","1","PLR",32.9917808219178
"150",2,"111","2","VERTS",74.6493150684932
"151",1,"111","2","PDC",65.5232876712329
"152",1,"711","1","PLR",41.7315068493151
"153",1,"111","1","PSN",70.4602739726027
"154",2,"811","2","PSN",40.8684931506849
"155",1,"811","1","UDC",28.4109589041096
"156",2,"0","2","PLR",30.2027397260274
"157",2,"111","4","POP-SOL",57.8246575342466
"158",2,"711","2","PSN",39.9945205479452
"159",2,"111","3","UDC",81.5397260273973
"160",2,"121","1","POP-SOL",21.6328767123288
"161",1,"121","2","PSN",80.2575342465753
"162",1,"811","2","UDC",63.7479452054795
"163",2,"111","1","PSN",21.2054794520548
"164",1,"0","2","VERTS",72.1095890410959
"165",2,"711","1","PSN",37.7972602739726
"166",1,"122","1","VERTS",30.7178082191781
"167",2,"711","2","PLR",47.5808219178082
"168",2,"111","2","PLR",48.3671232876712
"169",2,"121","1","PLR",24.9616438356164
"170",2,"111","2","PLR",65.5671232876712
"171",2,"121","2","PLR",52.1890410958904
"172",2,"811","2","POP-SOL",47.2
"173",1,"811","2","PLR",62.9041095890411
"174",2,"121","2","VERTS",45.2493150684932
"175",2,"811","1","VERTS",23.8547945205479
"176",1,"711","2","UDC",68.4164383561644
"177",1,"111","1","PSN",30.6246575342466
"178",1,"811","4","UDC",47.8849315068493
"179",1,"111","1","PSN",52.0054794520548
"180",2,"711","2","PLR",32.0520547945206
"181",2,"111","3","PLR",58.7917808219178
"182",1,"121","1","PLR",32.213698630137
"183",1,"111","2","PSN",73.2712328767123
"184",1,"121","4","PLR",62.5013698630137
"185",2,"711","2","VERTS",52.841095890411
"186",2,"121","2","PLR",62.4547945205479
"187",1,"711","2","PLR",48.1424657534247
"188",2,"121","1","PSN",29.8767123287671
"189",1,"711","1","PLR",37.3013698630137
"190",1,"111","2","VERTS",53.4219178082192
"191",2,"121","1","PLR",51.9424657534247
"192",1,"811","2","PSN",49.2849315068493
"193",1,"121","1","VERTS",83.5041095890411
"194",2,"811","1","VERTS",20.1917808219178
"195",1,"121","2","PLR",55.2301369863014
"196",1,"711","1","PLR",31.0739726027397
"197",2,"121","2","PSN",81.2821917808219
"198",2,"111","1","PLR",60.2794520547945
"199",2,"711","1","PSN",48.2657534246575
"200",1,"811","1","PLR",25.6630136986301
"201",2,"111","4","PSN",58.5205479452055
"202",2,"111","4","PLR",51.6109589041096
"203",1,"121","1","PLR",41.5945205479452
"204",2,"121","1","PLR",31.7917808219178
"205",1,"111","3","PLR",87.7260273972603
"206",2,"711","2","PLR",45.9452054794521
"207",2,"121","2","UDC",65.5808219178082
"208",2,"811","4","PLR",50.213698630137
"209",2,"711","2","POP-SOL",48.641095890411
