Canton	Annee	Parti	Electeurs fictifs	Suffrage en pourcent
Suisse	1991	Sol.		
Suisse	1991	Rép.		
Suisse	1991	DS	69297	3.39
Suisse	1991	UDF	20395	1
Suisse	1991	PSL	103585	5.07
Suisse	1991	Lega	28290	1.38
Suisse	1991	MCR		
Suisse	1991	Sép.	5258	0.26
Suisse	1991	Autres	50245	2.46
Suisse	1987	PLR	443617	22.93
Suisse	1987	PDC	378822	19.58
Suisse	1987	PS	356266	18.42
Suisse	1987	UDC	213253	11.02
Suisse	1987	PL	52532	2.72
Suisse	1987	AdI	80691	4.17
Suisse	1987	PEV	37265	1.93
Suisse	1987	PCS	5889	0.3
Suisse	1987	PVL		
Suisse	1987	PBD		
Suisse	1987	PST	15528	0.8
Suisse	1987	PSA	10879	0.56
Suisse	1987	POCH	24343	1.26
Suisse	1987	PES	94378	4.88
Suisse	1987	AVF	46405	2.4
Suisse	1987	Sol.		
Suisse	1987	Rép.	6769	0.35
Suisse	1987	DS	49104	2.54
Suisse	1987	UDF	17830	0.92
Suisse	1987	PSL	50372	2.6
Suisse	1987	Lega		
Suisse	1987	MCR		
Suisse	1987	Sép.	2845	0.15
Suisse	1987	Autres	47661	2.46
Suisse	1983	PLR	457283	23.33
Suisse	1983	PDC	396281	20.22
Suisse	1983	PS	447634	22.84
Suisse	1983	UDC	217166	11.08
Suisse	1983	PL	55326	2.82
Suisse	1983	AdI	78292	3.99
Suisse	1983	PEV	40837	2.08
Suisse	1983	PCS	7808	0.4
Suisse	1983	PVL		
Suisse	1983	PBD		
Suisse	1983	PST	17488	0.89
Suisse	1983	PSA	9962	0.51
Suisse	1983	POCH	43694	2.23
Suisse	1983	PES	37079	1.89
Suisse	1983	AVF	20063	1.02
Suisse	1983	Sol.		
Suisse	1983	Rép.	10148	0.52
Suisse	1983	DS	57592	2.94
Suisse	1983	UDF	7590	0.39
Suisse	1983	PSL		
Suisse	1983	Lega		
Suisse	1983	MCR		
Suisse	1983	Sép.	6703	0.34
Suisse	1983	Autres	48895	2.49
Suisse	1979	PLR	440099	24.01
Suisse	1979	PDC	390281	21.29
Suisse	1979	PS	447990	24.44
Suisse	1979	UDC	212705	11.6
Suisse	1979	PL	51258	2.8
Suisse	1979	AdI	74623	4.07
Suisse	1979	PEV	40744	2.22
Suisse	1979	PCS		
Suisse	1979	PVL		
Suisse	1979	PBD		
Suisse	1979	PST	38187	2.08
Suisse	1979	PSA	8147	0.44
Suisse	1979	POCH	31128	1.7
Suisse	1979	PES	11583	0.63
Suisse	1979	AVF	3236	0.18
Suisse	1979	Sol.		
Suisse	1979	Rép.	11587	0.63
Suisse	1979	DS	24257	1.32
Suisse	1979	UDF	4626	0.25
Suisse	1979	PSL		
Suisse	1979	Lega		
Suisse	1979	MCR		
Suisse	1979	Sép.	8344	0.46
Suisse	1979	Autres	34396	1.88
Suisse	1975	PLR	428919	22.21
Suisse	1975	PDC	407286	21.09
Suisse	1975	PS	480396	24.87
Suisse	1975	UDC	192053	9.94
Suisse	1975	PL	47256	2.45
Suisse	1975	AdI	117217	6.07
Suisse	1975	PEV	37959	1.97
Suisse	1975	PCS	2883	0.15
Suisse	1975	PVL		
Suisse	1975	PBD		
Suisse	1975	PST	45799	2.37
Suisse	1975	PSA	6706	0.35
Suisse	1975	POCH	19173	0.99
Suisse	1975	PES	1246	0.06
Suisse	1975	AVF		
Suisse	1975	Sol.		
Suisse	1975	Rép.	57192	2.96
Suisse	1975	DS	47796	2.47
Suisse	1975	UDF	6717	0.35
Suisse	1975	PSL		
Suisse	1975	Lega		
Suisse	1975	MCR		
Suisse	1975	Sép.	6167	0.32
Suisse	1975	Autres	26621	1.38
Suisse	1971	PLR	434547	21.81
Suisse	1971	PDC	404988	20.33
Suisse	1971	PS	456284	22.9
Suisse	1971	UDC	220487	11.07
Suisse	1971	PL	43710	2.19
Suisse	1971	AdI	152088	7.63
Suisse	1971	PEV	42798	2.15
Suisse	1971	PCS	5940	0.3
Suisse	1971	PVL		
Suisse	1971	PBD		
Suisse	1971	PST	51324	2.58
Suisse	1971	PSA	5271	0.26
Suisse	1971	POCH	1820	0.09
Suisse	1971	PES		
Suisse	1971	AVF		
Suisse	1971	Sol.		
Suisse	1971	Rép.	84702	4.25
Suisse	1971	DS	63781	3.2
Suisse	1971	UDF		
Suisse	1971	PSL		
Suisse	1971	Lega		
Suisse	1971	MCR		
Suisse	1971	Sép.		
Suisse	1971	Autres	24576	1.23
Zürich	2019	PLR	57290	13.66
Zürich	2019	PDC	18488	4.41
Zürich	2019	PS	72590	17.31
Zürich	2019	UDC	111973	26.7
Zürich	2019	PL		
Zürich	2019	AdI		
Zürich	2019	PEV	13846	3.3
Zürich	2019	PCS		
Zürich	2019	PVL	58689	13.99
Zürich	2019	PBD	6879	1.64
Zürich	2019	PST	1301	0.31
Zürich	2019	PSA		
Zürich	2019	POCH		
Zürich	2019	PES	59036	14.08
Zürich	2019	AVF	6741	1.61
Zürich	2019	Sol.		
Zürich	2019	Rép.		
Zürich	2019	DS	783	0.19
Zürich	2019	UDF	6754	1.61
Zürich	2019	PSL		
Zürich	2019	Lega		
Zürich	2019	MCR		
Zürich	2019	Sép.		
Zürich	2019	Autres	5004	1.19
Zürich	2015	PLR	65541	15.32
Zürich	2015	PDC	17897	4.18
Zürich	2015	PS	91508	21.39
Zürich	2015	UDC	131246	30.68
Zürich	2015	PL		
Zürich	2015	AdI		
Zürich	2015	PEV	13336	3.12
Zürich	2015	PCS		
Zürich	2015	PVL	34905	8.16
Zürich	2015	PBD	15497	3.62
Zürich	2015	PST	1027	0.24
Zürich	2015	PSA		
Zürich	2015	POCH		
Zürich	2015	PES	29470	6.89
Zürich	2015	AVF	7573	1.77
Zürich	2015	Sol.		
Zürich	2015	Rép.		
Zürich	2015	DS	753	0.18
Zürich	2015	UDF	8816	2.06
Zürich	2015	PSL		
Zürich	2015	Lega		
Zürich	2015	MCR		
Zürich	2015	Sép.		
Zürich	2015	Autres	10200	2.38
Zürich	2011	PLR	47752	11.64
Zürich	2011	PDC	20630	5.03
Zürich	2011	PS	79041	19.27
Zürich	2011	UDC	122377	29.84
Zürich	2011	PL		
Zürich	2011	AdI		
Zürich	2011	PEV	12591	3.07
Zürich	2011	PCS	643	0.16
Zürich	2011	PVL	47103	11.49
Zürich	2011	PBD	21644	5.28
Zürich	2011	PST	979	0.24
Zürich	2011	PSA		
Zürich	2011	POCH		
Zürich	2011	PES	34427	8.39
Zürich	2011	AVF	4195	1.02
Zürich	2011	Sol.		
Zürich	2011	Rép.		
Zürich	2011	DS	1154	0.28
Zürich	2011	UDF	8893	2.17
Zürich	2011	PSL		
Zürich	2011	Lega		
Zürich	2011	MCR		
Zürich	2011	Sép.		
Zürich	2011	Autres	8694	2.12
Zürich	2007	PLR	54285	13.15
Zürich	2007	PDC	31179	7.56
Zürich	2007	PS	81740	19.81
Zürich	2007	UDC	139962	33.92
Zürich	2007	PL		
Zürich	2007	AdI		
Zürich	2007	PEV	15191	3.68
Zürich	2007	PCS	607	0.15
Zürich	2007	PVL	28928	7.01
Zürich	2007	PBD		
Zürich	2007	PST	943	0.23
Zürich	2007	PSA		
Zürich	2007	POCH		
Zürich	2007	PES	42775	10.37
Zürich	2007	AVF	4602	1.12
Zürich	2007	Sol.		
Zürich	2007	Rép.		
Zürich	2007	DS	2229	0.54
Zürich	2007	UDF	8742	2.12
Zürich	2007	PSL	332	0.08
Zürich	2007	Lega		
Zürich	2007	MCR		
Zürich	2007	Sép.		
Zürich	2007	Autres	1143	0.28
Zürich	2003	PLR	59022	16.24
Zürich	2003	PDC	19730	5.43
Zürich	2003	PS	93239	25.66
Zürich	2003	UDC	121332	33.39
Zürich	2003	PL		
Zürich	2003	AdI		
Zürich	2003	PEV	14932	4.11
Zürich	2003	PCS		
Zürich	2003	PVL		
Zürich	2003	PBD		
Zürich	2003	PST		
Zürich	2003	PSA		
Zürich	2003	POCH		
Zürich	2003	PES	30773	8.47
Zürich	2003	AVF	5221	1.44
Zürich	2003	Sol.		
Zürich	2003	Rép.		
Zürich	2003	DS	3160	0.87
Zürich	2003	UDF	7491	2.06
Zürich	2003	PSL	336	0.09
Zürich	2003	Lega		
Zürich	2003	MCR		
Zürich	2003	Sép.		
Zürich	2003	Autres	8133	2.24
Zürich	1999	PLR	62718	17.82
Zürich	1999	PDC	18030	5.12
Zürich	1999	PS	90197	25.63
Zürich	1999	UDC	114321	32.48
Zürich	1999	PL	542	0.15
Zürich	1999	AdI	7226	2.05
Zürich	1999	PEV	12093	3.44
Zürich	1999	PCS	767	0.22
Zürich	1999	PVL		
Zürich	1999	PBD		
Zürich	1999	PST		
Zürich	1999	PSA		
Zürich	1999	POCH		
Zürich	1999	PES	14556	4.14
Zürich	1999	AVF	6294	1.79
Zürich	1999	Sol.		
Zürich	1999	Rép.		
Zürich	1999	DS	5439	1.55
Zürich	1999	UDF	6196	1.76
Zürich	1999	PSL	2899	0.82
Zürich	1999	Lega		
Zürich	1999	MCR		
Zürich	1999	Sép.		
Zürich	1999	Autres	10678	3.03
Zürich	1995	PLR	59761	18.1
Zürich	1995	PDC	16090	4.87
Zürich	1995	PS	76201	23.07
Zürich	1995	UDC	84073	25.46
Zürich	1995	PL	1554	0.47
Zürich	1995	AdI	17548	5.31
Zürich	1995	PEV	12356	3.74
Zürich	1995	PCS	528	0.16
Zürich	1995	PVL		
Zürich	1995	PBD		
Zürich	1995	PST		
Zürich	1995	PSA		
Zürich	1995	POCH		
Zürich	1995	PES	21546	6.52
Zürich	1995	AVF	8996	2.72
Zürich	1995	Sol.		
Zürich	1995	Rép.		
Zürich	1995	DS	10878	3.29
Zürich	1995	UDF	6156	1.86
Zürich	1995	PSL	11693	3.54
Zürich	1995	Lega		
Zürich	1995	MCR		
Zürich	1995	Sép.		
Zürich	1995	Autres	2857	0.87
Zürich	1991	PLR	65998	18.66
Zürich	1991	PDC	20880	5.9
Zürich	1991	PS	66462	18.79
Zürich	1991	UDC	71302	20.16
Zürich	1991	PL		
Zürich	1991	AdI	21588	6.1
Zürich	1991	PEV	16890	4.78
Zürich	1991	PCS		
Zürich	1991	PVL		
Zürich	1991	PBD		
Zürich	1991	PST		
Zürich	1991	PSA		
Zürich	1991	POCH		
Zürich	1991	PES	24776	7.01
Zürich	1991	AVF	8615	2.44
Zürich	1991	Sol.		
Zürich	1991	Rép.		
Zürich	1991	DS	18401	5.2
Zürich	1991	UDF	6256	1.77
Zürich	1991	PSL	20977	5.93
Zürich	1991	Lega		
Zürich	1991	MCR		
Zürich	1991	Sép.		
Zürich	1991	Autres	11531	3.26
Zürich	1987	PLR	71370	20.33
Zürich	1987	PDC	25042	7.13
Zürich	1987	PS	61221	17.44
Zürich	1987	UDC	53400	15.21
Zürich	1987	PL		
Zürich	1987	AdI	40667	11.58
Zürich	1987	PEV	15328	4.37
Zürich	1987	PCS		
Zürich	1987	PVL		
Zürich	1987	PBD		
Zürich	1987	PST	926	0.26
Zürich	1987	PSA		
Zürich	1987	POCH	13478	3.84
Zürich	1987	PES	28210	8.03
Zürich	1987	AVF		
Zürich	1987	Sol.		
Zürich	1987	Rép.	1678	0.48
Zürich	1987	DS	17452	4.97
Zürich	1987	UDF	6180	1.76
Zürich	1987	PSL	13193	3.76
Zürich	1987	Lega		
Zürich	1987	MCR		
Zürich	1987	Sép.		
Zürich	1987	Autres	2976	0.85
Zürich	1983	PLR	73089	21.79
